gameId,goalieId,goalieName,season,team,isGoalieTeamHome,lastGoalieInNet,goalieIdSeasonGAA,goalieIdSeasonSavePct,beforeGameSesaonSavePct,beforeGameSeasonGAA
2015020020,8466141,Roberto Luongo,2015,FLA,1,1,1.0,0.9743589743589745,0.9096458472042388,2.578563039015204
2015020035,8466141,Roberto Luongo,2015,FLA,0,1,1.0,0.9722222222222222,0.9743589743589745,1.0
2015020055,8466141,Roberto Luongo,2015,FLA,1,1,1.3333333333333333,0.9591836734693876,0.9722222222222222,1.0
2015020068,8466141,Roberto Luongo,2015,FLA,1,1,1.75,0.9477611940298508,0.9591836734693876,1.3333333333333333
2015020083,8466141,Roberto Luongo,2015,FLA,0,1,2.0,0.940828402366864,0.9477611940298508,1.75
2015020097,8466141,Roberto Luongo,2015,FLA,0,1,2.1666666666666665,0.9336734693877552,0.940828402366864,2.0
2015020128,8466141,Roberto Luongo,2015,FLA,1,1,2.0,0.9385964912280702,0.9336734693877552,2.1666666666666665
2015020150,8466141,Roberto Luongo,2015,FLA,1,1,2.125,0.9341085271317828,0.9385964912280702,2.0
2015020184,8466141,Roberto Luongo,2015,FLA,0,1,2.111111111111111,0.936026936026936,0.9341085271317828,2.125
2015020201,8466141,Roberto Luongo,2015,FLA,0,1,2.3,0.9307228915662652,0.936026936026936,2.111111111111111
2015020222,8466141,Roberto Luongo,2015,FLA,1,1,2.363636363636364,0.9277777777777778,0.9307228915662652,2.3
2015020236,8466141,Roberto Luongo,2015,FLA,1,1,2.4166666666666665,0.9234828496042216,0.9277777777777778,2.363636363636364
2015020251,8466141,Roberto Luongo,2015,FLA,0,1,2.5384615384615383,0.91871921182266,0.9234828496042216,2.4166666666666665
2015020265,8466141,Roberto Luongo,2015,FLA,1,1,2.357142857142857,0.9258426966292136,0.91871921182266,2.5384615384615383
2015020285,8466141,Roberto Luongo,2015,FLA,1,1,2.333333333333333,0.9278350515463918,0.9258426966292136,2.357142857142857
2015020296,8466141,Roberto Luongo,2015,FLA,1,1,2.5,0.9223300970873788,0.9278350515463918,2.333333333333333
2015020313,8466141,Roberto Luongo,2015,FLA,1,1,2.4705882352941178,0.9219330855018588,0.9223300970873788,2.5
2015020339,8466141,Roberto Luongo,2015,FLA,1,1,2.4444444444444446,0.921847246891652,0.9219330855018588,2.4705882352941178
2015020354,8466141,Roberto Luongo,2015,FLA,0,1,2.3684210526315788,0.9239864864864864,0.921847246891652,2.4444444444444446
2015020363,8466141,Roberto Luongo,2015,FLA,0,1,2.3,0.9260450160771704,0.9239864864864864,2.3684210526315788
2015020378,8466141,Roberto Luongo,2015,FLA,0,1,2.238095238095238,0.9282442748091604,0.9260450160771704,2.3
2015020400,8466141,Roberto Luongo,2015,FLA,0,1,2.3181818181818183,0.924219910846954,0.9282442748091604,2.238095238095238
2015020412,8466141,Roberto Luongo,2015,FLA,1,1,2.347826086956522,0.9223021582733812,0.924219910846954,2.3181818181818183
2015020435,8466141,Roberto Luongo,2015,FLA,0,1,2.333333333333333,0.9221140472878998,0.9223021582733812,2.347826086956522
2015020454,8466141,Roberto Luongo,2015,FLA,0,1,2.28,0.9243027888446216,0.9221140472878998,2.333333333333333
2015020479,8466141,Roberto Luongo,2015,FLA,0,1,2.1923076923076925,0.9266409266409268,0.9243027888446216,2.28
2015020493,8466141,Roberto Luongo,2015,FLA,1,1,2.259259259259259,0.9247842170160296,0.9266409266409268,2.1923076923076925
2015020511,8466141,Roberto Luongo,2015,FLA,1,1,2.2142857142857144,0.9250302297460702,0.9247842170160296,2.259259259259259
2015020527,8466141,Roberto Luongo,2015,FLA,1,1,2.206896551724138,0.924170616113744,0.9250302297460702,2.2142857142857144
2015020545,8466141,Roberto Luongo,2015,FLA,1,1,2.1666666666666665,0.9256292906178488,0.924170616113744,2.206896551724138
2015020572,8466141,Roberto Luongo,2015,FLA,1,1,2.096774193548387,0.9288840262582057,0.9256292906178488,2.1666666666666665
2015020589,8466141,Roberto Luongo,2015,FLA,0,1,2.0625,0.9302325581395348,0.9288840262582057,2.096774193548387
2015020602,8466141,Roberto Luongo,2015,FLA,0,1,2.060606060606061,0.9304703476482618,0.9302325581395348,2.0625
2015020632,8466141,Roberto Luongo,2015,FLA,0,1,2.088235294117647,0.929563492063492,0.9304703476482618,2.060606060606061
2015020644,8466141,Roberto Luongo,2015,FLA,0,0,2.142857142857143,0.9266862170087976,0.929563492063492,2.088235294117647
2015020672,8466141,Roberto Luongo,2015,FLA,0,1,2.138888888888889,0.926944971537002,0.9266862170087976,2.142857142857143
2015020707,8466141,Roberto Luongo,2015,FLA,1,1,2.081081081081081,0.9287696577243292,0.926944971537002,2.138888888888889
2015020714,8466141,Roberto Luongo,2015,FLA,1,1,2.0789473684210527,0.9295272078501338,0.9287696577243292,2.081081081081081
2015020736,8466141,Roberto Luongo,2015,FLA,1,1,2.051282051282051,0.93006993006993,0.9295272078501338,2.0789473684210527
2015020764,8466141,Roberto Luongo,2015,FLA,1,1,2.075,0.9298393913778528,0.93006993006993,2.051282051282051
2015020781,8466141,Roberto Luongo,2015,FLA,1,1,2.097560975609756,0.929392446633826,0.9298393913778528,2.075
2015020795,8466141,Roberto Luongo,2015,FLA,0,1,2.142857142857143,0.9281150159744408,0.929392446633826,2.097560975609756
2015020823,8466141,Roberto Luongo,2015,FLA,1,0,2.1627906976744184,0.9264822134387352,0.9281150159744408,2.142857142857143
2015020827,8466141,Roberto Luongo,2015,FLA,1,1,2.227272727272727,0.9242072699149264,0.9264822134387352,2.1627906976744184
